105.362,-180.243,0
82.3374,-95.0956,0
49.2086,-61.8016,13
43.0601,-29.0338,71
27.2081,-38.8431,86
14.511,-32.9082,130
5.16384,-41.9039,107
-10.0169,-31.5358,144
-20.1883,-38.8576,103
-34.4205,-27.4054,98
-46.647,-36.9737,48
-60.3376,-29.9314,29
-63.9017,-31.7059,24
-82.2605,-28.1732,7
-84.659,-48.5101,2
-100.614,-46.0707,1
-103.062,-32.3771,1
-120.888,-33.1082,6
-122.152,-12.4274,13
-122.3,-12.326,13
-126.224,-1.15957,17
-144.093,8.31573,55
-137.581,19.5088,35
-140.54,38.9109,24
-137.849,42.0987,20
-147.52,63.228,12
-128.891,68.9355,3
-127.97,80.6603,1
-121.538,85.1224,0
-118.894,97.5177,0
-109.278,103.438,0
-110.613,114.178,4
-101.953,126.019,3
-111.164,149.803,0
-87.7866,144.258,1
-76.7776,152.914,20
-68.267,146.889,4
-56.359,150.356,0
-41.6214,110.969,51
-31.6117,107.894,16
-26.7718,95.3313,2
-14.4438,94.6368,4
-5.42688,83.958,11
1.03089,83.0953,11
5.52107,76.8929,18
15.2686,74.1931,19
20.379,62.8296,35
35.0131,62.1306,26
31.6439,45.3515,64
42.8357,39.3218,55
44.8943,30.2687,69
56.5818,26.2838,43
59.2621,7.94143,51
75.6126,6.57581,17
78.7589,-10.1854,13
100.315,-10.8127,2
100.636,-32.1482,1
122.188,-30.7794,10
119.945,-6.15683,12
121.654,-4.6006,14
120.598,12.4364,13
149.878,33.083,45
127.043,42.2906,9
117.832,63.1586,2
113.338,65.3324,1
108.387,81.5625,0
89.721,76.7354,0
81.844,89.5537,0
73.0508,89.4183,0
67.1928,104.445,5
50.6756,100.586,3
44.6077,109.491,47
34.6,112.591,61
26.413,137.915,23
5.23896,150.506,0
-0.616032,155.912,3
-17.1444,152.311,18
-23.3366,169.088,0
-34.9432,166.798,25
-44.8231,181.034,0
-53.7328,180.006,0
-76.595,208.735,0
-80.864,169.12,0
-124.63,162.74,4
-125.694,163.21,4
-127.261,122.568,77
-136.461,113.721,46
-134.699,105.271,6
-147.749,88.8258,2
-178.818,80.3525,12
-78.8342,167.401,0
-59.2828,168.488,0
-52.9316,156.197,5
-40.8477,156.796,34
-31.6876,144.664,10
-20.4352,147.327,1
-10.4207,131.572,10
2.13595,136.109,1
11.4893,127.212,16
14.0628,127.056,25
25.9778,112.914,31
32.5415,111.715,38
28.3045,89.8262,4
31.078,84.7279,6
31.557,84.4976,5
40.7597,66.4624,16
42.2614,66.2244,15
50.9846,49.0901,27
63.5093,48.6779,14
67.1848,43.4866,14
82.3399,45.3704,4
89.8402,37.6854,3
101.77,43.3347,1
112.715,37.7295,3
106.261,18.4047,4
102.895,17.4221,2
97.369,7.33938,3
76.1537,7.07943,17
79.6893,23.684,10
64.9955,32.2254,23
88.6317,28.7734,4
101.804,-8.79549,3
101.527,57.7374,0
86.1567,62.6307,1
84.6647,64.9794,1
72.8261,66.4563,3
67.3696,83.9494,1
57.2832,83.8624,2
49.8118,92.6267,1
50.1696,69.547,9
66.4676,62.1154,6
10.1744,95.9828,3
9.52878,102.957,0
0.935537,110.822,0
-6.03907,111.241,1
-15.3476,121.543,21
-19.5828,120.925,39
-11.8445,216.676,0
-3.24969,278.066,0
31.4817,180.256,0
57.7066,176.539,0
41.9901,155.862,33
48.8155,140.334,49
47.503,137.24,91
70.7018,111.51,30
84.4934,112.408,6
91.7029,101.688,0
101.148,100.355,0
108.583,82.0824,0
126.437,89.5252,0
142.406,75.8846,4
345.976,35.9597,33
127.076,97.7353,0
117.517,108.428,6
110.066,108.999,2
105.222,124.141,6
88.097,121.57,15
83.4079,132.222,22
74.3415,135.523,40
68.866,148.367,3
80.1253,184.689,0
238.34,329.156,0
127.219,169.827,0
22.9,170.908,0
-1.05962,179.32,0
-8.51142,190.159,0
83.924,-50.4258,3
81.7127,-47.0711,4
48.6712,-24.1062,61
58.1104,-14.5396,46
57.4835,6.39625,55
40.9054,4.66591,115
32.9561,20.0993,130
25.6035,21.3228,157
19.8307,37.5468,114
-2.11221,33.1335,158
-4.37264,39.2819,128
-20.0208,47.6856,80
-14.7342,61.8982,43
-18.5693,70.3232,23
-27.652,72.6228,17
-30.8769,90.0043,4
-50.5437,87.8219,2
-52.9769,90.7125,1
-66.033,91.013,0
-71.9429,98.4403,0
-88.8469,97.3383,0
-92.2912,99.6197,0
-98.4802,98.6175,0
-103.072,76.7218,0
-105.95,76.1052,0
-116.952,59.1393,2
-120.032,58.9739,2
-131.382,43.5481,13
-117.519,34.0721,6
-117.878,20.9824,8
-112.003,14.4334,5
-107.444,13.5323,4
-97.7382,-2.50097,3
-92.6615,-2.83906,4
-82.47,-11.8034,10
-67.2588,-6.96796,29
-58.0721,-11.199,47
-53.8591,-9.19242,63
-39.3406,-12.4057,113
-17.8898,-0.956772,218
-9.95307,7.11348,239
6.57092,1.41845,249
11.907,4.99006,237
26.6111,-3.97573,178
38.3174,0.269854,129
47.5438,-24.2608,65
44.444,-26.3536,72
13.8407,-22.7607,179
4.15677,-14.8999,223
-8.45423,-19.7179,200
-15.844,-14.6239,199
-33.6134,-21.0067,119
14.6005,13.245,215
-2.68055,30.6482,173
-13.2019,20.4188,197
-26.9929,23.5425,142
-35.6215,10.8693,139
-49.1009,11.5796,79
-52.8715,15.6098,66
-70.3952,10.5888,24
-75.9209,14.0982,16
-80.288,13.2709,11
-95.293,25.1344,3
-94.2695,34.1226,2
-103.796,40.9929,1
-105.331,51.4224,1
-91.0434,61.7255,1
-92.1688,70.901,0
-82.4136,78.6567,0
-74.7873,78.2532,1
-66.2912,67.3938,4
-56.0765,68.6508,7
-49.528,51.3172,27
-36.2542,53.9706,39
-26.8832,45.4568,72
-31.7105,32.7276,103
-45.5413,32.6464,62
-53.1829,24.8767,53
-67.8576,33.3216,18
-71.6135,32.2611,16
-83.7303,38.9339,5
-81.0921,54.087,3
-72.0513,57.1012,5
-61.2895,45.9644,17
-51.9851,47.8187,27
-34.7625,68.1538,18
-50.5979,74.1757,6
-83.5172,-26.7586,6
-100.757,-29.1096,2
-106.522,-11.6368,3
-85.1167,117.782,16
-86.7895,122.356,20
-81.6111,130.569,32
-70.6434,133.422,71
-62.1246,115.272,81
-50.234,107.132,18
-68.7114,111.883,32
0.419262,60.433,52
4.03306,54.464,71
14.2138,53.684,64
21.6194,41.8692,99
76.1805,-14.1864,16
-82.76,-50.8121,3
-69.8036,-52.541,7
-66.7989,-55.742,7
-49.3532,-55.8005,18
-46.6828,-94.5748,1
-25.6626,-66.3539,22
-8.81456,-69.9061,23
-5.6643,-54.4524,60
4.63031,-47.8202,82
16.9646,-59.5165,38
28.1817,-53.7097,41
15.0583,-68.5013,24
46.8052,-120.402,0
-7.23182,-85.3483,7
-53.2012,-115.513,0
-6.60303,-73.0445,19
-20.7922,-45.1426,77
-30.0776,-54.564,39
-44.6219,-51.1759,28
